"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Wenatchee Valley United B03",1256,8.78,2.68,8,"WA","Wenatchee","","Spr PSPL-Inland Copa 1 U15",""
"FC Portland White B03",1255,6.56,3.57,34,"OR","Portland","PTT B03 Premier White","Spr OYS B03 Premier White","OYS State Cup B03"
"STU Evolution Black B03",1253,5.31,4.36,35,"WA","Tacoma","NPSL Div 1 (03) U14","Spr NPSL (03) Div 1 U14","Founders Cup B03 Div A"
"PCU Red 1 B03",1244,3.91,5.55,10,"OR","Portland","","Spr OYS B03 Premier White","OYS State Cup B03"
"Crossfire Oregon Green I B03",1240,3.92,5.4,32,"OR","Lake Oswego","PTT B03 Premier Green","Spr OYS B03 Premier Green","OYS State Cup B03"
"Eastside Timbers Black B03",1239,6.61,3.17,36,"OR","Gresham","PTT B03 Premier White","Spr OYS B03 Premier White","OYS State Cup B03"
"LWPFC White Piranhas B03",1235,5.25,3.88,33,"WA","Redmond","PSPL Classic 1 U14","Spr PSPL SuperLeague 1 U14","WA Cup U14 Gold U14"
"Whatcom Rangers Gold B03",1234,6.55,3.1,31,"WA","Bellingham","RCL B03 Div 3","Win RCL B03 Div 3",""
"Pumas UNAM B B03",1233,7.06,2.85,22,"WA","Seattle","PSPL Classic 2 Red U14","Spr PSPL SuperLeague 2 U14","WA Cup U14 Silver U14"
"Crossfire Premier C B03",1223,5.96,3.16,44,"WA","Redmond","RCL B03 Div 4","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 2"
"IDA-ORE FC Tigers Ontario B03",1220,5.97,3.09,23,"ID","","Idaho D3 U15B Div 2 U15","Spr Idaho D3 U14 Div 2",""
"LASC IFC Champions FC B03",1218,7.89,2.3,36,"OR","NE Portland","PTT B03 Div 1 Green","Spr OYS B03 Premier White","OYS Presidents Cup B03"
"Spokane Sounders B B03",1215,4.32,4.1,36,"WA","Spokane","RCL B03 Div 5","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 2"
"FC Portland Red B03",1214,4.51,3.9,26,"OR","Portland","PTT B03 Div 1 White","Spr OYS B03 Div 2 Green","OYS Presidents Cup B03"
"3 Rivers Black B03",1212,5.59,3.11,34,"WA","Pasco","RCL B03 Div 2","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 1"
"Idaho Storm Rage B03",1209,6.76,2.52,14,"ID","Meridian","Idaho D3 U15B Div 2 U15","Spr Idaho D3 U14 Div 2",""
"Wenatchee Valley Othello United B03",1208,6.59,2.57,18,"WA","Othello","PSPL-Inland Copa 1 U14","Spr PSPL-Inland Copa Classic U14",""
"Seattle United Shoreline Blue B03",1203,4.37,3.73,29,"WA","Shoreline","NPSL Div 1 (03) U14","","Founders Cup B03 Div A"
"NK Fire B03",1202,5.49,2.96,27,"WA","Poulsbo","PSPL Classic 2 Red U14","Spr PSPL SuperLeague 2 U14",""
"Kent United White B03",1198,4.97,3.18,43,"WA","Kent","NPSL Div 2 (03) U14","Spr NPSL (03) Div 1 U14","Founders Cup B03 Div A, WA Cup U14 Silver U14, WYS Presidents Cup B03 Div 2"
"RVSC Timbers Red B03",1196,4.56,3.42,29,"OR","Medford","PTT B03 Premier White","Spr OYS B03 Premier White","OYS State Cup B03"
"STU Evolution Blanco B03",1195,5.1,3.03,21,"WA","Tacoma","RCL B03 Div 5, RCL B03 7v2","",""
"FC Nova Gold B03",1193,4.64,3.29,30,"ID","Boise","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U13/U14 Div 1","NWCL 03, ID State Cup U14"
"Academia de Futebol ADF B03",1191,3.7,4.06,32,"OR","Portland","PTT B03 Premier White","Spr OYS B03 Premier White","OYS State Cup B03"
"ETFC Ajax Black B03",1186,5.79,2.52,37,"OR","Eugene","PTT B03 Premier White","Spr OYS B03 Premier White","OYS State Cup B03"
"Bend FC Timbers Red B03",1183,4.24,3.34,45,"OR","Bend","PTT B03 Premier Green","Spr OYS B03 Premier Green","FWRL03, OYS State Cup B03"
